Name,State,City,Zip,Type,Image,Ranking,ACT,AidPercentage,AcceptanceRate,Fees,GPAAvg,Enrollment,SATAvg,SATRange,ACTRange,YearFounded,AcademicCalendar,Setting,SchoolWebsite
Florida Institute of Technology,FL,Melbourne,32901,private,https://www.usnews.com/dims4/USNEWS/d5a740c/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F54%2F335496639d7a24b4f547936e2a9a3f%2Fcollege-photo_14462.jpg,202,25,,65,42470,3.7,3680,1150,1150-1340,25-30,1958,Semester,City,http://www.fit.edu
Maryville University of St. Louis,MO,St Louis,63141,private,https://www.usnews.com/dims4/USNEWS/52a15cc/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fac%2Fce8b57afbbdb932d07a65999af765e%2Fcollege-photo_4538.jpg,202,20,,95,28470,3.6,3678,1020,1020-1240,20-26,1872,Semester,Suburban,http://www.maryville.edu
Pace University,NY,New York,10038,private,https://www.usnews.com/dims4/USNEWS/070980e/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F74%2F8a5382560ae46b6eeb0b2c0ebf1d68%2Fcollege-photo_37306.jpg,202,22,,76,46446,3.4,8960,1060,1060-1220,22-27,1906,Semester,Urban,http://www.pace.edu
Regis University,CO,Denver,80221,private,https://www.usnews.com/dims4/USNEWS/4948936/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc1%2Fbbff76509778f75c0f593cf86b79b7%2Fcollege-photo_20339.jpg,202,21,,60,38180,3.6,3961,1050,1050-1230,21-27,1877,Semester,Suburban,http://www.regis.edu
Robert Morris University,PA,Moon Township,15108,private,https://www.usnews.com/dims4/USNEWS/4b80f96/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F38%2F69%2F5a3339004cc5a4eda38c89c28350%2F190821robert-morris-university1.jpg,202,21,,85,31200,3.5,4005,1030,1030-1200,21-28,1921,Semester,Suburban,http://www.rmu.edu
University of Maine,ME,Orono,4469,public,https://www.usnews.com/dims4/USNEWS/4c5ba54/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F98%2Ff7b50c295d7562b5573eb8de9895b0%2F1-Default.jpg,202,22,,92,31748,3.3,9365,1050,1050-1250,22-27,1865,Semester,Rural,http://www.umaine.edu
University of St. Francis,IL,Joliet,60435,private,https://www.usnews.com/dims4/USNEWS/0f8181b/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1a%2Fcd2c7421d9334d5aae86a1818b4940%2Fcollege-photo_9445.jpg,202,20,,47,34000,3.4,1629,1030,1030-1190,20-26,1920,Semester,Suburban,http://www.stfrancis.edu
Widener University,PA,Chester,19013,private,https://www.usnews.com/dims4/USNEWS/e29f4f1/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe4%2Fdf54d72d141a607c19023cae7908ac%2Fcollege-photo_2538.jpg,202,20,,69,47328,3.4,3345,1020,1020-1200,20-26,1821,Semester,Suburban,http://www.widener.edu
California State University--Fresno,CA,Fresno,93740,public,https://www.usnews.com/dims4/USNEWS/0b685a2/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff4%2Fc42949cb51d9579311d2d425c0b569%2F130725Academics015.JPG,211,16,,58,12725,3.5,22071,910,910-1110,16-22,1911,Semester,Urban,http://www.csufresno.edu
Georgia State University,GA,Atlanta,30302,public,https://www.usnews.com/dims4/USNEWS/401d914/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa9%2F5942691c71130f339cc2228fffbdf1%2Fcollege-photo_17339.jpg,211,21,,57,30114,3.5,27190,990,990-1190,21-26,1913,Semester,Urban,http://www.gsu.edu
Immaculata University,PA,Immaculata,19345,private,,211,21,,81,27350,3.3,1504,1018,1018-1223,21-28,1920,Semester,Suburban,http://www.immaculata.edu
Kent State University,OH,Kent,44242,public,https://www.usnews.com/dims4/USNEWS/800ade3/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F89%2F82f7dd013d01cc554db5fa36ff15e7%2Fcollege-photo_7973.jpg,211,20,,85,19792,3.4,22557,1030,1030-1210,20-25,1910,Semester,Suburban,http://www.kent.edu
Mississippi State University,MS,Mississippi State,39762,public,https://www.usnews.com/dims4/USNEWS/95f41fc/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7f%2F61f2e669e17f1fa5b20f30cbb1e9ae%2Fcollege-photo_8631.jpg,211,22,,57,23950,3.4,18490,1070,1070-1330,22-29,1878,Semester,Rural,http://www.msstate.edu
University of Hartford,CT,West Hartford,6117,private,,211,22,,75,42182,,5000,1050,1050-1250,22-28,1877,Semester,Suburban,http://www.hartford.edu
Wilkes University,PA,Wilkes-Barre,18766,private,https://www.usnews.com/dims4/USNEWS/49580c4/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F52%2Fed20f088224d4088d4ace57996e203%2F_1MM1987a-2.jpg,211,21,,75,37622,3.6,2455,1050,1050-1240,21-27,1933,Semester,City,http://www.wilkes.edu
Clarke University,IA,Dubuque,52001,private,https://www.usnews.com/dims4/USNEWS/3ce2abb/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc0%2Fdc7175e372653ac34ec3efb4064b70%2F_MG_9583_lowres.jpg,218,19,,82,34670,3.4,744,930,930-1096,19-23,1843,Semester,Urban,https://www.clarke.edu
Florida International University,FL,Miami,33199,public,https://www.usnews.com/dims4/USNEWS/9c7601c/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd9%2Fce5c42690f453ae5e351564b57fce3%2Fcollege-photo_20246.jpg,218,23,,59,18956,4,48439,1090,1090-1260,23-27,1972,Semester,Urban,http://www.fiu.edu
Gannon University,PA,Erie,16541,private,https://www.usnews.com/dims4/USNEWS/9e00e3e/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1e%2F76553ef78e2163cfa452b87cc072d0%2Fcollege-photo_17085.jpg,218,20,,81,33226,3.5,3291,1020,1020-1220,20-26,1925,Semester,City,http://www.gannon.edu
Hampton University,VA,Hampton,23668,private,https://www.usnews.com/dims4/USNEWS/1e2304e/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F85%2F6ea21a6e031cb227492b6fe018697c%2Fcollege-photo_10393.jpg,218,19,,36,28024,3.3,3672,1040,1040-1310,19-24,1868,Semester,Urban,http://www.hamptonu.edu
Lipscomb University,TN,Nashville,37204,private,https://www.usnews.com/dims4/USNEWS/c163276/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7d%2Fe07bf7d17827407b00e9cf94051287%2Fcollege-photo_19565.jpg,218,22,,60,33424,3.7,2938,1060,1060-1320,22-29,1891,Semester,Suburban,http://www.lipscomb.edu
Sacred Heart University,CT,Fairfield,6825,private,https://www.usnews.com/dims4/USNEWS/4998b83/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F70%2F606176597a208e7bb6874597fd3ec6%2Fcollege-photo_19861.jpg,218,23,,60,43070,3.5,5974,1100,1100-1240,23-27,1963,Semester,Suburban,http://www.sacredheart.edu
Texas Tech University,TX,Lubbock,79409,public,https://www.usnews.com/dims4/USNEWS/7716228/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fba%2F63dfa2b309dad19269d470c9dbc827%2Fcollege-photo_28842.jpg,218,22,,71,23770,3.6,31957,1070,1070-1240,22-27,1923,Semester,City,http://www.ttu.edu
University of Massachusetts--Dartmouth,MA,North Dartmouth,2747,public,https://www.usnews.com/dims4/USNEWS/394993b/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fca%2F3f30ad1ad7cd8ed16df7648d2a1194%2Fcollege-photo_33772.jpg,218,19,,78,30103,3.2,6841,990,990-1190,19-26,1895,Semester,Suburban,http://www.umassd.edu
University of New Mexico,NM,Albuquerque,87131,public,https://www.usnews.com/dims4/USNEWS/cb3cf44/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F2a%2F7a60869d82f635300e20054dbdb24a%2Fcollege-photo_21160.jpg,218,19,,52,24490,3.4,17859,1030,1030-1260,19-25,1889,Semester,Urban,http://www.unm.edu
Western New England University,MA,Springfield,1119,private,https://www.usnews.com/dims4/USNEWS/5f48f80/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F93%2Ff6ca8b441cfe967097bfc4b8bda5c5%2Fcollege-photo_1182.jpg,218,22,,85,37992,3.5,2751,1060,1060-1250,22-27,1919,Semester,Suburban,http://www.wne.edu
St. Catherine University,MN,St. Paul,55105,private,https://www.usnews.com/dims4/USNEWS/b0d4a50/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fea%2Ffe8ad4fb36107a96b9c0bba4b9737f%2Fcollege-photo_34176.jpg,228,20,,70,41614,3.6,3283,1100,1100-1275,20-26,1905,Unknown,Urban,http://www.stkate.edu
University of Indianapolis,IN,Indianapolis,46227,private,https://www.usnews.com/dims4/USNEWS/e70321b/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F2d%2F61c58b294ad7e090a28e5f39d2e48b%2Fcollege-photo_3463.jpg,228,19,,81,30976,3.5,4508,990,990-1180,19-25,1902,Unknown,Urban,http://www.uindy.edu
Azusa Pacific University,CA,Azusa,91702,private,https://www.usnews.com/dims4/USNEWS/53b154c/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa2%2F6acb6e86472d5dda026df52099f2df%2Fcollege-photo_11672.jpg,228,21,,69,38880,3.7,5657,1020,1020-1240,21-27,1899,Semester,Suburban,http://www.apu.edu
CUNY--City College,NY,New York,10031,public,https://www.usnews.com/dims4/USNEWS/65699a6/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fdc%2F92c8f6868242a02f5a5c8302803826%2Fcollege-photo_6100.jpg,228,,,38,18475,3.3,13666,950,950-1190,N/A,1847,Semester,Urban,//admissions@ccny.cuny.edu
East Carolina University,NC,Greenville,27858,public,https://www.usnews.com/dims4/USNEWS/8fd98a4/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff7%2Fe6fd932775828513e474fa972ca3a8%2Fcollege-photo_35377.jpg,228,19,,82,23516,3.3,23071,1030,1030-1180,19-24,1907,Semester,City,http://www.ecu.edu
Grand Valley State University,MI,Allendale,49401,public,https://www.usnews.com/dims4/USNEWS/160afdd/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F40%2F6a3bdd16b75f4b28e83d45d7a96198%2Fcollege-photo_33849.jpg,228,21,,83,18296,3.6,21680,1050,1050-1240,21-27,1960,Semester,Suburban,http://www.gvsu.edu
Indiana University-Purdue University--Indianapolis,IN,Indianapolis,46202,public,,228,19,,81,30712,3.5,21246,1000,1000-1200,19-26,1969,Semester,Urban,https://www.iupui.edu
The Sage Colleges,NY,Troy,12180,private,https://www.usnews.com/dims4/USNEWS/86e16f8/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd7%2F46%2F6cb689814d5dab13cb02f1efc6d1%2F190830the-sage-colleges0.jpg,228,17,,93,31883,3.2,1477,940,940-1140,17-22,1916,Semester,City,http://www.sage.edu
University of Massachusetts--Boston,MA,Boston,2125,public,https://www.usnews.com/dims4/USNEWS/6a2f27d/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F05%2Fd8dafebbabfd2b8e4145176be41aec%2Fcollege-photo_29208.jpg,228,21,,78,35075,3.3,12714,1020,1020-1220,21-27,1964,Semester,N/A,http://www.umb.edu
University of North Carolina--Charlotte,NC,Charlotte,28223,public,,228,21,,67,20288,3.4,24387,1120,1120-1270,21-26,1946,Semester,Suburban,http://www.uncc.edu/
University of Wyoming,WY,Laramie,82071,public,,228,22,,96,18151,3.5,9998,1050,1050-1280,22-28,1886,Semester,Suburban,http://www.uwyo.edu
West Virginia University,WV,Morgantown,26506,public,https://www.usnews.com/dims4/USNEWS/4e7b51e/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F37%2F7152bcd9217461478e5a91bdf290ef%2Fcollege-photo_22108.jpg,228,21,,82,25320,3.5,21155,1050,1050-1240,21-27,1867,Semester,Suburban,http://www.wvu.edu
Central Michigan University,MI,Mount Pleasant,48859,public,https://www.usnews.com/dims4/USNEWS/7d53b4a/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fdd%2Fb3554062ba30d585f6d7adf77d61c5%2Fcollege-photo_8168.jpg,240,20,,69,12960,3.4,16432,1000,1000-1200,20-27,1892,Semester,Rural,http://www.cmich.edu
Harding University,AR,Searcy,72149,private,https://www.usnews.com/dims4/USNEWS/7ca1e59/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F65%2F889803e32481ef361fca528d2ba977%2Fcollege-photo_22411.jpg,240,22,,68,20530,3.6,3974,1060,1060-1300,22-29,1924,Semester,Suburban,http://www.harding.edu
Long Island University,NY,Brookville,,private,,240,21,,76,38368,3.3,9918,1050,1050-1250,21-27,1926,Semester,N/A,//www.liu.edu
Oklahoma City University,OK,Oklahoma City,73106,private,https://www.usnews.com/dims4/USNEWS/34eb836/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fde%2Fbff4ad9190a560ce81354439e8c857%2Fcollege-photo_9258.jpg,240,23,,76,32594,3.8,1622,1090,1090-1280,23-29,1904,Semester,Urban,http://www.okcu.edu
University of Findlay,OH,Findlay,45840,private,https://www.usnews.com/dims4/USNEWS/b77d203/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F15%2Fffda467275440adb9f9336c1baa766%2Fcollege-photo_11098.jpg,240,21,,73,35410,,3614,1052,1052-1247,21-26,1882,Semester,City,http://www.findlay.edu
University of Nevada--Reno,NV,Reno,89557,public,https://www.usnews.com/dims4/USNEWS/9e0208e/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fbc%2F384233eb0572d4b4cbd9ffde05c7ba%2Fcollege-photo_20610.jpg,240,21,,88,23075,3.4,17930,1070,1070-1280,21-26,1874,Semester,Urban,http://www.unr.edu
Bowling Green State University,OH,Bowling Green,43403,public,https://www.usnews.com/dims4/USNEWS/708caaf/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F81%2F17c35065b829f1c3c1d791f6287d0f%2Fcollege-photo_18886.jpg,246,20,,72,19305,3.4,14858,1000,1000-1200,20-25,1910,Semester,Rural,http://www.bgsu.edu
George Fox University,OR,Newberg,97132,private,https://www.usnews.com/dims4/USNEWS/19ea897/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd4%2F44a6c4b9f9b457b297c855b5bf9d4a%2Fcollege-photo_3762.jpg,246,21,,82,37280,3.6,2700,1020,1020-1230,21-27,1891,Semester,Suburban,http://www.georgefox.edu
Lesley University,MA,Cambridge,2138,private,https://www.usnews.com/dims4/USNEWS/bfe3e55/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fba%2F8092342369fba4956d9d5135f95839%2Fcollege-photo_33519.jpg,246,19,,76,28750,3.2,2127,938,938-1293,19-29,1909,Semester,City,//www.lesley.edu
Montana State University,MT,Bozeman,59717,public,https://www.usnews.com/dims4/USNEWS/d18457b/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe4%2F3f15b8579684f5917c648d322d3504%2Fcollege-photo_34544.jpg,246,21,,82,25708,3.5,14919,1090,1090-1320,21-28,1893,Semester,City,http://www.montana.edu
University of New England,ME,Biddeford,4005,private,https://www.usnews.com/dims4/USNEWS/13df628/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc2%2Fb90298b800c88f112fd9a6c0170a95%2Fcollege-photo_21010.jpg,246,20,,80,38750,3.4,4449,1050,1050-1240,20-26,1831,Semester,Suburban,http://www.une.edu
Wayne State University,MI,Detroit,48202,public,https://www.usnews.com/dims4/USNEWS/194536c/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1e%2Fb636c25d90821b1a0c2719d447ec1c%2Fcollege-photo_1083.jpg,246,21,,71,31499,3.4,17602,1010,1010-1210,21-27,1868,Semester,Urban,https://wayne.edu/
Western Michigan University,MI,Kalamazoo,49008,public,https://www.usnews.com/dims4/USNEWS/1474f6a/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7f%2F1648c1025c09c601432931f0729794%2Fcollege-photo_36717.jpg,246,20,,81,16041,3.4,17760,990,990-1190,20-26,1903,Semester,City,https://wmich.edu/
Nova Southeastern University,FL,Ft. Lauderdale,33314,private,https://www.usnews.com/dims4/USNEWS/c759f74/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F2f%2F99242a2e5b9fff793a8d07cd567587%2FUR_20171109_1972.jpg,246,22,,79,32150,4,4904,1080,1080-1290,22-28,1964,Trimester,Suburban,http://www.nova.edu
Baker University,KS,Baldwin City,66006,private,https://www.usnews.com/dims4/USNEWS/3751b19/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fbe%2Fe5976ee1c190c100c99667f47a50ee%2Fcollege-photo_12793.jpg,254,20,,88,29800,3.5,1214,930,930-1175,20-25,1858,Unknown,Rural,http://www.bakeru.edu
College of St. Scholastica,MN,Duluth,55811,private,,254,20,,66,38282,3.5,2479,1050,1050-1270,20-26,1912,Semester,Suburban,http://www.css.edu
D'Youville College,NY,Buffalo,14201,private,https://www.usnews.com/dims4/USNEWS/f5cf81b/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F17%2F4f8f9c4ca2d8233ae43acc482f5792%2Fcollege-photo_31403.jpg,254,14,,100,27940,3.7,1699,1030,1030-1200,14-23,1908,Semester,Urban,http://www.dyc.edu
Florida A&M University,FL,Tallahassee,32307,public,,254,19,,39,17725,3.4,8137,1040,1040-1170,19-23,1887,Semester,City,http://www.famu.edu
Lincoln Memorial University,TN,Harrogate,37752,private,,254,19,,43,22740,3.5,1953,1003,1003-1198,19-25,1897,Semester,Rural,http://www.lmunet.edu
Southern Illinois University--Carbondale,IL,Carbondale,62901,public,https://www.usnews.com/dims4/USNEWS/294706b/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F63%2Fb652e36587ae7571e3909bb77fb751%2Fcollege-photo_11308.jpg,254,20,,72,14904,3.2,9552,1020,1020-1300,20-27,1869,Semester,Rural,http://www.siu.edu
University of Colorado--Denver,CO,Denver,80217,public,https://www.usnews.com/dims4/USNEWS/120c511/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F43%2F7a9cba82bd4fe326f122d658f0c4fa%2Fcollege-photo_12603.jpg,254,21,,64,32005,3.5,16385,1020,1020-1210,21-26,1912,Semester,Urban,http://www.ucdenver.edu
University of Montana,MT,Missoula,59812,public,https://www.usnews.com/dims4/USNEWS/33f5a61/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fca%2Fe0d2931fa3bd9d991dd041b0f97018%2Fcollege-photo_11345.jpg,254,20,,88,26218,3.3,8306,1040,1040-1260,20-26,1893,Semester,Urban,http://www.umt.edu
Utah State University,UT,Logan,84322,public,,254,21,,89,22197,3.6,24880,1050,1050-1290,21-28,1888,Semester,City,http://www.usu.edu
Daemen College,NY,Amherst,14226,private,https://www.usnews.com/dims4/USNEWS/a483bbc/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F52%2Fff7697afab3028ac1cf723ba57ad4b%2Fcollege-photo_9584.jpg,263,21,,54,29430,3.3,1739,1040,1040-1230,21-26,1947,Semester,Suburban,https://www.daemen.edu/
New Mexico State University,NM,Las Cruces,88003,public,https://www.usnews.com/dims4/USNEWS/f9d2e56/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F11%2Fe41e2d49565505ca3995024f5b7e73%2Fcollege-photo_15275.jpg,263,17,,66,24917,3.5,11687,940,940-1160,17-23,1888,Semester,City,http://www.nmsu.edu
